sentence,acceptable
О староверах я уже писал.,1
"Христофоров, явившийся в ложу первым и одиноко сидевший за ее красно-бархатного барьером, чувствовал себя затерянным в огромной, разодетой толпе.",0
"Она так и сидела в гостинной, окруженная полторастами произведениями своей коллекции.",0
"Он купит машину, если только не пропьет все деньги.",1
Детям не было где спать.,1
На самом деле нынешний мир под управлением США абсолютно лишен каких бы то ни было моральных предрассудков.,1
"Сколько ты хочешь, чтобы тебе заплатили?",1
Поселок находился вдали от железной дороги.,1
"Она, конечно, знала, что рискует, отказываясь от его предложений.",1
В средние века Германия состояла из раздробленных княжеств.,1
Петров не приедет в Москву для участия в конкурсе.,1
"Среди сподвижников молодого царя, прежде хранившим верность своему повелителю, послышался возмущённый ропот.",0
Я не вызывал такси.,1
"Говорят, что он кого-то отравил.",1
Мы просим вас нам спеть.,1
Рядом с ним стояла девушка с припухшими глазами и выбившейся из под платка прядью волос.,1
Прибор научился сам звонить в звоночек.,1
"Когда капитан подошел вплотную к таинственному катеру, его помощник закрепил швартовый конец более надёжнее.",0
"Население не просто не имеет понятия, что такое НПФ или инвестиционный портфель, но даже считает, что накопительная система уже сама по себе обеспечит большие накопления.",1
"Этих людей, недоброжелателей друг друга, нельзя помирить.",1
"Кого он отомстил врагу, убив?",0
"Куда ты не знаешь, как добраться?",1
"Ведь я вам ответил, Иннокентий.",1
Он оказался очень сообразительным кем?,0
"Власти решили не рисковать и не использовать такую меру, как отстранение губернатора от должности, вызвавшей бы непредсказуемую реакцию.",0
"Албанские экстремисты стремятся уничтожить всё, что в Косово и Метохии имеет какие-либо сербские признаки.",1
Могу резко не тормозить.,1
"Если кому-нибудь что-нибудь надо, пожалуйста, спрашивайте Эрни Терковски.",1
"Он был когда-то литератор, огорчен и не признан.",0
Давно мы вас в нашем захолустье ждем….,1
Повествование начинается с 19 июня 1941 года.,1
Глаза резало на свету.,1
"В этот момент он думает о том, что мы уехали и ему придется теперь жить одному.",1
"А теперь, перейдём к непосредственному материалу и попробоваем изучить азы того самого римского счёта.",0
Есть о чем рассказывать!,1
Я подарю ей какую-нибудь из этих книг.,1
"Имеются признаки, что условия жизни у нас действительно переменятся.",1
"Проскользнувший человек мимо меня быстро скрылся за углом, так что я даже не успел разглядеть его как следует.",0
Я на прошлой неделе у вас деньги брала.,1
"Теперь, подумал я, пути к примирению отрезаны.",1
Картина изображает зимний пейзаж.,1
Я шил такие куртки.,1
"Коренные зубы у детей растут в той же последовательности, как выпадали молочные.",1
"Кто-то продолжал работать по старинке, но кто-то перешел на новые условия труда.",1
"Если ты воспользуешься каким-нибудь из этих средств, ты мгновенно поправишься.",1
Таких сведений у нас не имеется.,1
Он выделялся своим умом среди сверстников.,1
Он не помог нам своим советом.,1
"Человек идет в аптеку, предоставляет свою ID-карту, и аптекарь видит все назначения у себя в компьютере.",1
С семистами тоннами золота они скрылись в тумане.,0
"Саша приказал, чтобы мы помогли ему решить задачу.",1
"Всадник поскакал к реке, а не заскакал.",1
Она приходила как-то летом.,1
Я еще не достал билеты на «Щелкунчик».,1
Государь сам назначил войскового командира.,1
Он когда-то учился в музыкальной школе.,1
"Попов полагал, что, раз прибор научился сам звонить в звоночек, можно заставить его и трубочку встряхивать самому.",1
"Из того, что он заработал, он много пожертвовал церкви.",1
"Он меня не видал, и, следственно, я не мог подозревать умысла; но это только увеличивало его вину в моих глазах.",1
"Мы испугались, что Евгению Эмильевичу собираются что-то “пришить”.",1
"В Supermicro, кстати, ориентируются исключительно на процессоры Intel, в то время как Tyan работает также и с AMD.",1
"Я ответил, что считаю его умным и опытным политиком, крупной фигурой современности.",1
"Книга, что была на полке.",1
Ребятишки ползают по двору и роются в песке.,1
Она приняла к себе ребенка.,0
Я позвоню тебе сегодня или завтра.,1
"Зимними холодными вечерами они сидели у камина, читали или разговаривали.",1
"Странно, что Иван дал мне служебный телефон.",1
Все лето трава была зеленой.,1
Я не имею никакого представления об этом человеке.,1
Специалисты связывают понижение курса с падением индексов.,1
"Зина считает, что Иван, кажется, в отпуске.",0
"Если разговор слышал Матвей, то зачем ему сообщать об этом вам ― под каким бы то ни было соусом.",1
Трудно любить женщину и делать что-нибудь.,1
Она назначила мне встречу.,1
"Я чувствую, что он, наверное, где-то поблизости.",0
Правительство совершенно не собирается идти ни на какие уступки и просто тянет время.,1
Муж собирается просить Лену разрешить ему поехать туда один.,0
"Дедушка, возьми меня, пожалуйста, к себе.",1
Мне трудно верить кому-нибудь из них.,1
"Журналистка была приглашена министром, чтобы дать ей интервью.",0
"Сейчас берешь-ка животное, и мы отправляемся в зоопарк.",0
В Белоруссии либеральные газеты не остались.,0
Я много раз находил клад.,1
Слова жены подтверждают мои догадки.,1
Он давно не был в Москве.,1
"Я не уверен, что она уже не разболтала.",1
Меня включили заниматься этой проблемой.,0
В зал внесли четыре ящика.,1
"Зная горячий, взрывной характер отца, мы не хотели его беспокоить.",1
"Это был человек совести, и он не мог не поступить справедливо по ней.",0
"Он думает, его за это похвалят.",1
Как я смогу получить эти книги?,1
Анна сидела около него и иногда дополняла что-нибудь.,1
Я тебя не перебивал.,1
"Пил чай то с вахтером, то сторожем.",0
"Такая, как она, не может поступить иначе.",1
По вечерам я слушаю радио.,1
"Он кого-то увидел, но я не знаю, кого.",1
"Ну что ж, мы и одни посидим.",1
Мой дед закончил аспирантуру на 25-м году в него после войны.,0
Я никогда не думал так и столько о какой бы то ни было женщине.,1
Дубровский назначил им местом свиданья Кистеневскую рощу.,1
"Возможно, она не смогла уговорить кого-нибудь из них.",1
Она живет в маленьком городе близ Курска.,0
Я ощутил запах гари.,1
Мой друг довольно дипломатичный человек.,1
"Я хочу, чтобы они зашли, а ты спрячешься.",0
Сильно этот поезд не опоздал.,1
"Маша сказала на перроне, что будет ждать меня там.",1
"Сейчас есть занятия по химии, физике.",0
"Высокий баллон с кислородом стоял в отдельном запертом сейчас коридоре — в том коридоре около рентгеновских кабинетов, где когда-то Гангарт впервые уложила промокшего умирающего Костоглотова.",1
"Свидетели говорят о двух взрывах, происшедшими в двадцать три часа.",0
В лесу у нашей деревни много грибов.,0
"Маша, он видит, бледна.",0
Она живет в маленьком городе близ Москвы.,0
У памятника собралось около тысячи человек.,1
"Я был в Лондоне, но не видел Машу.",1
Я не знаю Машу Трофимову.,1
"Проходя мимо причала, Артёму захотелось сделать несколько фотографий.",0
"Жестокая, почти невыносимая боль пронзила его тело.",1
Иван не может переплыть Москва-реку.,1
Его взяли в наш институт.,1
В эмиграции Марина Цветаева часто вспоминала и восхищалась поэзией Бориса Пастернака.,0
"Слепой мальчик тянулся за дудкой, брал ее дрожащими руками и прикладывал к губам.",1
"Потом пожалел, что не взял собаку.",1
В комнату вошел адвокат.,1
Песням этого композитора свойственно органичное соединение музыки и слов.,1
Он говорил об упразднении всяких званий.,1
Давно к нам приехал знакомый из Болгарии.,0
Она уже задумывается о будущем.,1
"Он не пользовался самоструйным пером –– верное указание (как подтвердит вам всякий психиатр), что пациент –– репрессивный ундинист.",1
Ошибка Маше была указана на неправильную форму глагола преподавателем.,0
Павел Петрович восседал между Катей и Фенечкой; мужья пристроились возле своих жен.,1
"В случае если не оказать своевременно медицинскую помощь, многие болезни являются смертельно опасными.",1
"Это хороший повод, чтобы познакомиться.",1
"Эти 7 вопросов задает инспектор, чтобы подловить на ошибке всех водителей – как реагировать и что отвечать?",1
Она сегодня кого-то ждет.,1
Можешь взять любое яблоко.,1
Он взял ребенка на руки.,1
"Занимаясь определённым делом, оно начинает хорошо получаться.",0
На крыльцо вышел небольшого роста коренастый мужичок и приветливо кивнул головой.,1
